sale_date,sale_price,square_ft,lat,long
1/16/18,156000,1859,33.6071706,-84.5240825
1/17/18,640000,4323,34.1316764,-84.263806
1/17/18,3045470,6835,33.8769816,-84.4209185
1/17/18,240500,1224,33.902763,-84.350392
1/17/18,385500,2018,33.8961056,-84.3751098
1/17/18,130000,1826,33.5893999,-84.5007723
1/17/18,395000,1984,33.794016,-84.4287754
1/17/18,665000,3860,34.0227278,-84.2368118
1/17/18,2400000,6281,33.8729206,-84.3519718
1/17/18,860000,2024,33.8434573,-84.384211
1/18/18,820000,5310,33.9577969,-84.2788821
1/18/18,212721,1835,33.6505609,-84.5297346
1/18/18,371586,1976,34.0526025,-84.1279498
1/18/18,784030,2531,33.8812193,-84.3721326
1/18/18,537800,1730,33.8880405,-84.3730771
1/18/18,135000,1240,34.025943,-84.3227689
1/18/18,221000,2987,33.5893912,-84.6388995
1/18/18,317000,1798,34.1159221,-84.2674468
1/18/18,560000,3395,34.1186779,-84.2601033
1/18/18,450702,1724,33.7529784,-84.3546649
1/18/18,367000,4453,33.7321872,-84.5301441
1/18/18,349000,2200,33.9721733,-84.3522105
1/18/18,305000,1890,33.6630445,-84.4646209
1/18/18,170000,1176,33.728252,-84.3496657
1/18/18,550000,3319,33.9247601,-84.3728923
1/18/18,110000,711,33.9307542,-84.3614699
1/18/18,550000,3847,33.8182049,-84.4150097
1/18/18,130000,859,33.827969,-84.361938
1/18/18,260000,1652,34.0360881,-84.2456397
1/18/18,150000,1646,33.53663964,-84.56774448
1/18/18,525000,1782,33.8043575,-84.4169998
1/18/18,195000,1642,33.7002748,-84.5158697
1/18/18,127000,1726,33.5628669,-84.498744
1/18/18,220000,1326,33.818605,-84.443073
1/18/18,711000,4043,33.8470396,-84.3493165
1/18/18,518000,2788,33.904198,-84.367168
1/18/18,189901,2742,33.5393488,-84.5284011
1/18/18,420000,2626,34.0384148,-84.1819658
1/19/18,405000,2987,34.0876486,-84.2097435
1/19/18,1050000,5348,34.0235221,-84.3835682
1/19/18,152500,1795,33.5797589,-84.5244582
1/19/18,251579,3124,33.6493096,-84.6195202
1/19/18,344900,3353,33.6467159,-84.5651089
1/19/18,999000,4149,34.0392326,-84.1400333
1/19/18,265000,1226,33.7421084,-84.4430975
1/19/18,440000,2900,33.814049,-84.4641438
1/19/18,325000,1616,33.8173044,-84.4631039
1/19/18,289900,1026,33.7299413,-84.3642684
1/19/18,395000,1134,33.8210843,-84.3634662
1/19/18,677312,4443,34.0484419,-84.1639981
1/19/18,432000,2223,34.0526612,-84.1626057
1/19/18,375000,1000,33.7777998,-84.383904
1/19/18,480000,1320,33.7777998,-84.383904
1/19/18,189900,1302,33.7702413,-84.476519
1/19/18,215000,795,33.7597965,-84.3714756
1/19/18,227000,2768,33.6128568,-84.595021
1/19/18,168000,815,33.762035,-84.3764729
1/19/18,912500,3816,33.7937122,-84.3492959
1/19/18,268000,1616,34.0482173,-84.3285052
1/19/18,460000,3113,34.0566797,-84.3725638
1/19/18,355000,2420,34.0479364,-84.3459683
1/19/18,717500,3518,34.0486283,-84.3544309
1/19/18,245000,1584,34.112248,-84.262936
1/19/18,175000,1103,33.8011418,-84.3973618
1/19/18,490000,1884,33.8113511,-84.3624868
1/19/18,567500,1796,33.8005783,-84.3712913
1/19/18,1475000,5208,34.1671808,-84.3348747
1/19/18,355000,2604,34.0091822,-84.3211076
1/19/18,379000,1244,33.7908173,-84.3969924
1/19/18,177000,695,33.7916224,-84.3980682
1/19/18,425000,1497,33.8417737,-84.3775
1/19/18,325000,989,33.7846307,-84.379824
1/19/18,177990,1988,33.6203289,-84.5526648
1/19/18,235000,1200,33.7441778,-84.3506876
1/19/18,650000,1698,33.8183758,-84.3995784
1/19/18,570000,2088,33.8431194,-84.409651
1/19/18,108750,1316,33.9980377,-84.3021135
1/19/18,973546,2768,33.7695241,-84.3682724
1/19/18,1372250,3952,33.8265357,-84.3834655
1/19/18,420000,3331,34.0715529,-84.2011779
1/19/18,475000,1879,33.9073062,-84.3744733
1/19/18,167000,2480,33.5482328,-84.531209
1/19/18,175000,2695,33.5446956,-84.5345798
1/19/18,199800,1098,33.7695539,-84.4623733
1/19/18,581000,3027,33.9464155,-84.3621324
1/19/18,153000,912,33.7353825,-84.3973413
1/19/18,210000,1599,33.7013467,-84.4253702
1/19/18,740662,4162,34.0917647,-84.3133185
1/19/18,499000,1712,33.8039072,-84.4060838
1/19/18,352585,1725,34.0012442,-84.284026
1/19/18,387000,1140,33.7855185,-84.411987
1/19/18,443404,2080,34.0635928,-84.2784296
1/19/18,453042,2080,34.0635568,-84.2783378
1/19/18,662220,3080,34.0631101,-84.2783063
1/19/18,280000,2010,34.0946931,-84.2650505
1/19/18,148400,1120,33.7589519,-84.4075613
1/19/18,382000,2818,34.0790143,-84.1994482
1/19/18,145000,812,33.8179586,-84.4232735
1/22/18,270000,2675,34.0770643,-84.2771329
1/22/18,518462,1746,33.8211375,-84.3618336
1/22/18,335000,1446,34.0286587,-84.3483921
1/22/18,259000,1550,33.8298277,-84.3539274
1/22/18,404900,2929,34.0672288,-84.3453726
1/22/18,386500,2204,34.0696873,-84.3502819
1/22/18,355000,2496,34.005837,-84.318466
1/22/18,680000,4202,34.0583198,-84.2559888
1/22/18,175900,1697,33.7267565,-84.5666035
1/22/18,305600,3551,33.66563,-84.587588
1/22/18,275000,1112,33.8082818,-84.4820846
1/22/18,258000,1750,34.1057312,-84.2710257
1/22/18,242000,1326,33.817015,-84.44408
1/22/18,207080,3012,33.5394994,-84.5283834
1/22/18,100000,1500,33.5733787,-84.5625712
1/22/18,437000,1705,33.7317632,-84.3808789
1/22/18,219000,729,33.7651344,-84.3881936
1/22/18,400000,2104,34.030659,-84.2873954
1/22/18,430000,2202,33.90718,-84.4255669
1/23/18,168630,1988,33.5802139,-84.5247346
1/23/18,249000,3348,33.6481917,-84.5313318
1/23/18,213900,732,33.7299413,-84.3642684
1/23/18,215000,1760,33.715828,-84.3508903
1/23/18,240000,3310,33.6144017,-84.5934664
1/23/18,760000,5227,34.091219,-84.4111522
1/23/18,509000,1369,33.7908173,-84.3969924
1/23/18,115500,1000,34.086797,-84.2784822
1/23/18,217990,3127,33.6230713,-84.5516004
1/23/18,220000,1064,33.815291,-84.3914639
1/23/18,340000,2000,33.7454774,-84.4033612
1/23/18,1025000,3255,33.8262689,-84.3804683
1/23/18,775000,3785,34.0961069,-84.296627
1/23/18,179500,1073,33.8111868,-84.4253184
1/23/18,140000,1206,33.9418431,-84.3717681
1/23/18,465000,1399,33.8046602,-84.4102289
1/23/18,357500,2461,34.082649,-84.1974713
1/23/18,337500,1754,33.9783667,-84.2848662
1/23/18,278499,2858,33.5548551,-84.6057381
1/23/18,580000,2982,33.7751777,-84.3581769
1/23/18,260000,2232,34.0056539,-84.2158148
1/23/18,447000,3763,34.0731921,-84.4099416
1/24/18,340000,2139,34.0209608,-84.3925796
1/24/18,230000,2559,33.9708238,-84.3485976
1/24/18,1050000,5706,33.9706508,-84.2855448
1/24/18,542911,2422,34.0766831,-84.290192
